Simplified,Chapter,Pinyin,Category,Meaning
发展,15,fāzhǎn,V,develop
发抖,24,fādǒu,V,shake; tremble; shiver
发炎,12,fāyán,VO,become inflamed
发烧,12,fāshāo,VO,have a fever
取,18,qǔ,V,take; get; fetch
变化,24,biànhuà,N,change
口,8,kǒu,M,number of people in a family
口语,14,kǒuyǔ,N,spoken language
古典,22,gǔdiǎn,A,classical
句,26,jù,M,sentence
只,19,zhǐ,Adv,only
叫,4,jiào,V,to be called
可不,24,kěbù,IE,exactly; right; that's just the way it is
可乐,9,kělè,N,Coke
可以,4,kěyǐ,OpV,may
可是,13,kěshì,Conj,but
可爱,8,kě'ài,A,"lovely, cute"
可能,13,kěnéng,OpV,maybe
右,21,yòu,N,right
右边,21,yòubian,N,right side
号,5,hào,N,number
号,9,hào,N,day of the month
司机,11,sījī,N,driver
吃,9,chī,V,eat
吃饭,13,chīfàn,VO,eat (a meal)
合适,17,héshì,A,suitable; appropriate; right
同学,21,tóngxué,N,classmate; schoolmate
名字,7,míngzi,N,name
名片,7,míngpiàn,N,calling card
后边,21,hòubian,N,back side; behind
向,24,xiàng,Prep,towards; to
吓,25,xià,V,scare; frighten
吗,1,ma,QPt,(interrogative particle for question expecting yes-no answer)
吧,12,ba,MdPt,modal particle
听,13,tīng,V,listen
听说,13,tīngshuō,V,be told
吸烟,11,xīyān,VO,"smoke (cigarettes, etc.)"
告诉,13,gàosu,V,tell
呢,1,ne,MdPt,(a modal particle used for elliptical questions)
和,8,hé,Conj,and
咖啡,2,kāfēi,N,coffee
咖啡馆,21,kāfēiguǎn,N,café
咱们,18,zánmen,Pr,we; us
哥哥,2,gēge,N,elder brother
哪,3,nǎ,QPr,which
哪儿,5,nǎr,QPr,where
哪里,11,nǎli,IE,no (expresses modest denial)
哭,22,kū,V,cry; weep
哲学,7,zhéxué,N,philosophy
售,17,shòu,V,sell
售货员,17,shòuhuòyuán,N,shop assistant; salesclerk
唱,19,chàng,V,to sing
唱歌,11,chànggē,VO,sing (a song)
商,10,shāng,N,trade; commerce; business
商场,10,shāngchǎng,N,market; bazaar; shopping mall
商店,17,shāngdiàn,N,shop; store
啊,7,à,Int,ah; oh
啤酒,9,píjiǔ,N,beer
喂,13,wèi,Int,hello; hey
喜欢,8,xǐhuan,V,"like, prefer"
喝,2,hē,V,to drink
嗓子,12,sǎngzi,N,throat
器,20,qì,N,utensil
四,,sì,Num,four
四,5,sì,Num,four
回,11,huí,V,return
回信,13,huíxìn,N,reply/reply
回忆,22,huíyì,V,reminisce; recollect; recall
回答,11,huídá,V,answer
因为,20,yīnwèi,Conj,because
园林,21,yuánlín,N,garden; park
国,3,guó,N,"country, nation"
国家,21,guójiā,N,country
国籍,16,guójí,N,nationality
图书,16,túshū,N,books
图书馆,16,túshūguǎn,N,library
图片,26,túpiàn,N,picture; photograph
圣诞,14,shèngdàn,PN,Christmas
圣诞老人,14,shèngdàn lǎorén,N,Santa Clause
在,10,zài,Prep,at; in; on
在,24,zài,Adv,(used to indicate an action in progress)
在,5,zài,V,"to be (here, there); to be (in, on at)"
地上,25,dìshang,N,ground; floor
地图,24,dìtú,N,map
地方,22,dìfang,N,place; region
地方戏,22,dìfāngxì,N,regional opera
地铁,18,dìtiě,N,underground railway; subway
场,21,chǎng,M,"match; set; (measure word for sports, films, performances)"
坏,25,huài,A,bad; broken
坐,5,zuò,V,to sit
块(钱),10,kuài(qián),M,"dollar; basic Chinese monetary unit, worth 10 毛(máo)"
型号,25,xínghào,N,model; type
城,24,chéng,N,city; wall
城市,15,chéngshì,N,city
填,16,tián,V,fill in; write
墨,19,mò,N,Chinese ink
士兵,24,shìbīng,N,soldier
声,24,shēng,N,sound; voice
声调,26,shēngdiào,N,tone
复习,14,fùxí,V,review
复活节,14,fùhuó jié,N,Easter
夏天,23,xiàtiān,N,summer
外,8,wài,Prep,outside
外公,8,wàigōng,N,maternal grandfather
外国,8,wàiguó,N,foreign country
外婆,14,wàipó,N,maternal grandmother
外语,8,wàiyǔ,N,foreign language
外边,21,wàibian,N,outside
多,8,duō,A,"many, much"
