Simplified,Chapter,Pinyin,Category,Meaning
参加,9,cān jiā,V,participate; attend
参观,15,cān guān,V,visit (a place)
又,20,yòu,Adv,again
双,17,shuāng,M,pair
发展,15,fā zhǎn,V,develop
发抖,24,fā dǒu,V,shake; tremble; shiver
发炎,12,fā yán,VO,become inflamed
发烧,12,fā shāo,VO,have a fever
取,18,qǔ,V,take; get; fetch
变化,24,biàn huà,N,change
口,8,kǒu,M,number of people in a family
口语,14,kǒu yǔ,N,spoken language
古典,22,gǔ diǎn,A,classical
句,26,jù,M,sentence
只,19,zhǐ,Adv,only
叫,4,jiào,V,to be called
可不,24,kě bù,IE,exactly; right; that's just the way it is
可乐,9,kě lè,N,Coke
可以,4,kě yǐ,OpV,may
可是,13,kě shì,Conj,but
可爱,8,kě ài,A,"lovely, cute"
可能,13,kě néng,OpV,maybe
右,21,yòu,N,right
右边,21,yòu bian,N,right side
号,5,hào,N,number
号,9,hào,N,day of the month
司机,11,sī jī,N,driver
吃,9,chī,V,eat
吃饭,13,chī fàn,VO,eat (a meal)
合适,17,hé shì,A,suitable; appropriate; right
同学,21,tóng xué,N,classmate; schoolmate
名字,7,míng zi,N,name
名片,7,míng piàn,N,calling card
后边,21,hòu bian,N,back side; behind
向,24,xiàng,Prep,towards; to
吓,25,xià,V,scare; frighten
吗,1,ma,QPt,(interrogative particle for question expecting yes-no answer)
吧,12,ba,MdPt,modal particle
听,13,tīng,V,listen
听说,13,tīng shuō,V,be told
吸烟,11,xī yān,VO,"smoke (cigarettes, etc.)"
告诉,13,gào su,V,tell
呢,1,ne,MdPt,(a modal particle used for elliptical questions)
和,8,hé,Conj,and
咖啡,2,kā fēi,N,coffee
咖啡馆,21,kā fēi guǎn,N,café
咱们,18,zán men,Pr,we; us
哥哥,2,gē ge,N,elder brother
哪,3,nǎ,QPr,which
哪儿,5,nǎr,QPr,where
哪里,11,nǎ li,IE,no (expresses modest denial)
哭,22,kū,V,cry; weep
哲学,7,zhé xué,N,philosophy
售,17,shòu,V,sell
售货员,17,shòu huò yuán,N,shop assistant; salesclerk
唱,19,chàng,V,to sing
唱歌,11,chàng gē,VO,sing (a song)
商,10,shāng,N,trade; commerce; business
商场,10,shāng chǎng,N,market; bazaar; shopping mall
商店,17,shāng diàn,N,shop; store
啊,7,à,Int,ah; oh
啤酒,9,pí jiǔ,N,beer
喂,13,wèi,Int,hello; hey
喜欢,8,xǐ huan,V,"like, prefer"
喝,2,hē,V,to drink
嗓子,12,sǎng zi,N,throat
器,20,qì,N,utensil
四,,sì,Num,four
四,5,sì,Num,four
回,11,huí,V,return
回信,13,huí xìn,N,reply/reply
回忆,22,huí yì,V,reminisce; recollect; recall
回答,11,huí dá,V,answer
因为,20,yīn wèi,Conj,because
园林,21,yuán lín,N,garden; park
国,3,guó,N,"country, nation"
国家,21,guó jiā,N,country
国籍,16,guó jí,N,nationality
图书,16,tú shū,N,books
图书馆,16,tú shū guǎn,N,library
图片,26,tú piàn,N,picture; photograph
圣诞,14,shèng dàn,PN,Christmas
圣诞老人,14,shèng dàn lǎo rén,N,Santa Clause
在,10,zài,Prep,at; in; on
在,24,zài,Adv,(used to indicate an action in progress)
在,5,zài,V,"to be (here, there); to be (in, on at)"
地上,25,dì shang,N,ground; floor
地图,24,dì tú,N,map
地方,22,dì fang,N,place; region
地方戏,22,dì fāng xì,N,regional opera
地铁,18,dì tiě,N,underground railway; subway
场,21,chǎng,M,"match; set; (measure word for sports, films, performances)"
坏,25,huài,A,bad; broken
坐,5,zuò,V,to sit
块钱,10,kuài qián,M,"dollar; basic Chinese monetary unit, worth 10 毛(máo)"
块,10,kuài,M,"dollar; basic Chinese monetary unit, worth 10 毛(máo)"
型号,25,xíng hào,N,model; type
城,24,chéng,N,city; wall
城市,15,chéng shì,N,city
填,16,tián,V,fill in; write
墨,19,mò,N,Chinese ink
士兵,24,shì bīng,N,soldier
声,24,shēng,N,sound; voice
声调,26,shēng diào,N,tone
复习,14,fù xí,V,review
复活节,14,fù huó jié,N,Easter
夏天,23,xià tiān,N,summer
外,8,wài,Prep,outside
外公,8,wài gōng,N,maternal grandfather
外国,8,wài guó,N,foreign country
外婆,14,wài pó,N,maternal grandmother
外语,8,wài yǔ,N,foreign language
外边,21,wài bian,N,outside
多,8,duō,A,"many, much"
多,9,duō,Adv,how
多余,20,duō yú,A,superfluous; uncalled for; surplus
多大,9,duō dà,QPr,how old
多少,8,duō shao,QPr,"how many, how much"
夜,20,yè,N,night
大,8,dà,A,"big, large"
大,9,dà,A,old (in reference to a person)
大便,12,dà biàn,N,stool
大学,24,dà xué,N,university; college
大学生,21,dà xué shēng,N,university student; college student
大家,18,dà jiā,Pr,all; everybody
天,6,tiān,N,day
天堂,21,tiān táng,N,heaven; paradise
天气,6,tiān qì,N,weather
天气预报,23,tiān qì yùbào,N,weather forecast
太,6,tài,Adv,too; extremely
太太,22,tài tài,N,wife; Mrs.
太极拳,17,tài jí quán,N,Taiji Boxing
头,12,tóu,N,head
头发,17,tóu fa,N,hair
套,17,tào,M,set; suit; suite
女,5,nǚ,A,female
女儿,11,nǚ ér,N,daughter
奶奶,3,nǎi nai,N,grandmother on the father's side
她,3,tā,Pr,she; her
好,1,hǎo,A,good; well; fine; O.K.
好久,15,hǎo jiǔ,IE,long time
好久不见,15,hǎo jiǔ bú jiàn,IE,"""long time no see""; haven't seen someone for a long time"
好像,18,hǎo xiàng,V,to seem; to be like
如果,25,rú guǒ,Conj,if
妆,20,zhuāng,N,makeup
妈妈,2,mā ma,N,mom
妹妹,8,mèi mei,N,younger sister
妻子,26,qī zi,N,wife
姐姐,8,jiě jie,N,older sister
姑娘,13,gū niang,N,girl
姓,4,xìng,V,one's surname is.../surname
姓名,16,xìng míng,N,full name
孔子,23,kǒng zǐ,PN,Confucius
字,11,zì,N,character
孙女儿,11,sūn nür,N,granddaughter (son's daughter)
孙子,18,sūn zi,N,grandson
学,7,xué,V,to learn; to study
学习,4,xué xí,V,to learn; to study
学校,21,xué xiào,N,school
学生,5,xué sheng,N,student
学院,4,xué yuàn,N,institute; college
孩子,19,hái zi,N,child; children
它,19,tā,Pr,it
它们,19,tā men,Pr,"they (refering to things, animals)"
宋华,5,sòng huá,PN,(name of a Chinese student)
完,25,wán,V,finish; run out of
实在,26,shí zài,A,honest/truly; really
实用,16,shí yòng,A,practical
客,18,kè,N,visitor; guest
客人,26,kè rén,N,guest
客厅,13,kè tīng,N,living room
客气,18,kè qi,A,polite; curteous
室,16,shì,N,room
害怕,23,hài pà,V,be afraid
家,19,jiā,N,specialist
家,8,jiā,N,"family, home"
家美,13,jiā měi,PN,name of a house rental agency
容易,10,róng yì,A,easy
宿舍,5,sù shè,N,dormitory
寄,14,jì,V,"post, mail"
对,14,duì,A,"right, correct"
对,26,duì,Prep,to
对不起,5,duì bu qǐ,IE,I'm sorry
导,23,dǎo,V,to guide; to lead
导游,23,dǎo yóu,N,tour guide
寿面,9,shòu miàn,N,"birthday noodles, longevity noodles"
封,18,fēng,M,(measure word for letter)
将军,24,jiāng jūn,N,general
小,8,xiǎo,A,"little, small"
小伙子,26,xiǎo huǒ zi,N,young man
